,Unix epoch (ms),ECEF Velocities
0,1532332859.04,
1,1532332864.04,1358.4604530084184
2,1532332869.04,1356.69392716521
3,1532332874.04,1354.6898425316756
4,1532332879.04,1353.1610716489079
5,1532332884.04,1351.3613502561766
6,1532332889.04,1349.3907177992046
7,1532332894.04,1347.607683247099
8,1532332899.04,1346.0624453592957
9,1532332904.04,1344.075289287573
10,1532332909.04,1342.2922666373372
11,1532332914.04,1340.526182582978
12,1532332919.04,1338.7601644977353
13,1532332924.04,1336.7561887457568
14,1532332929.04,1335.2112163789998
15,1532332934.04,1333.445344648738
16,1532332939.04,1331.441397553404
17,1532332944.04,1329.896555436552
18,1532332949.04,1327.9098947605885
19,1532332954.04,1326.1269128013762
20,1532332959.04,1324.3786585944886
21,1532332964.04,1322.5782919862336
22,1532332969.04,1320.8302014300962
23,1532332974.04,1319.047246335685
24,1532332979.04,1317.2818238840246
25,1532332984.04,1315.2955727512904
26,1532332989.04,1313.7335265553404
27,1532332994.04,1311.7473671328037
28,1532332999.04,1309.9821675030707
29,1532333004.04,1308.4201174919865
30,1532333009.04,1306.4341240495128
31,1532333014.04,1304.6690738343243
32,1532333019.04,1302.8861616436484
33,1532333024.04,1301.1211935839733
34,1532333029.04,1299.1354486420637
35,1532333034.04,1297.5733947801305
36,1532333039.04,1295.8266971465391
37,1532333044.04,1293.8048463162595
38,1532333049.04,1292.0583252293416
39,1532333054.04,1290.496275618943
40,1532333059.04,1288.510866553113
41,1532333064.04,1286.7463435071106
42,1532333069.04,1284.9634903286083
43,1532333074.04,1283.199050541353
44,1532333079.04,1281.4161965388564
45,1532333084.04,1279.4495981404434
46,1532333089.04,1277.887552967341
47,1532333094.04,1275.9025658641135
48,1532333099.04,1274.3405094675788
49,1532333104.04,1272.3556168352886
50,1532333109.04,1270.5915586941123
51,1532333114.04,1268.8087515367838
52,1532333119.04,1267.0447776439728
53,1532333124.04,1265.2808732934411
54,1532333129.04,1263.517038641225
55,1532333134.04,1261.7342607638325
56,1532333139.04,1259.9705108392461
57,1532333144.04,1257.9670209158671
58,1532333149.04,1256.443221195496
59,1532333154.04,1254.4397753297544
60,1532333159.04,1252.6570157459983
61,1532333164.04,1250.8935133922844
62,1532333169.04,1249.1300814522751
63,1532333174.04,1247.3667200494624
64,1532333179.04,1245.6034293288517
65,1532333184.04,1243.820714859413
66,1532333189.04,1242.0379853036216
67,1532333194.04,1240.0737294670994
68,1532333199.04,1238.5116772064994
69,1532333204.04,1236.527993864965
70,1532333209.04,1234.7452987071026
71,1532333214.04,1233.2029699512182
72,1532333219.04,1231.2194628503262
73,1532333224.04,1229.4566522924003
74,1532333229.04,1227.6739880083733
75,1532333234.04,1225.6906658850485
76,1532333239.04,1224.1486130511362
77,1532333244.04,1222.3659645887315
78,1532333249.04,1220.3828203392102
79,1532333254.04,1218.8409086190666
80,1532333259.04,1216.8377072791104
81,1532333264.04,1215.075310737722
82,1532333269.04,1213.5335407213263
83,1532333274.04,1211.5303743435504
84,1532333279.04,1209.768138602286
85,1532333284.04,1207.7854410628947
86,1532333289.04,1206.2438859185368
87,1532333294.04,1204.461305773479
88,1532333299.04,1202.4787890526368
89,1532333304.04,1200.9167256986168
90,1532333309.04,1198.9550224681216
91,1532333314.04,1197.3722358375257
92,1532333319.04,1195.4107217401274
93,1532333324.04,1193.6281792883542
94,1532333329.04,1191.866512024271
95,1532333334.04,1190.1049187887882
96,1532333339.04,1188.1019282992931
97,1532333344.04,1186.5608905833283
98,1532333349.04,1184.7994619178612
99,1532333354.04,1182.8176658435086
100,1532333359.04,1181.2556162490373
101,1532333364.04,1179.2526760292458
102,1532333369.04,1177.5127422351609
103,1532333374.04,1175.7302724481297
104,1532333379.04,1173.9691832783678
105,1532333384.04,1172.2081694013355
106,1532333389.04,1170.4257177870877
107,1532333394.04,1168.6647957154044
108,1532333399.04,1166.8823461439117
109,1532333404.04,1164.9228046303817
110,1532333409.04,1163.360762050561
111,1532333414.04,1161.357964818544
112,1532333419.04,1159.6191281227725
113,1532333424.04,1157.8367341865885
114,1532333429.04,1156.2746722533807
